,PNL,alpha,average_draw_down,bollinger,max_draw_down,num_orders,order_profit,order_waiting,order_win,return,rolling,sharpe_ratio,stop_win,win_ratio
0,36645.545,-1,703.230169492,1.0,1390.88575,10872,36.3551051051,808.513513514,0.708708708709,0.077520103443,1000,0.397794351524,2,0.593220338983
1,36897.36625,-1,708.835529661,1.0,1390.88575,10708,36.7136866184,830.709492947,0.704155547083,0.0781412017695,1000,0.401144872999,3,0.593220338983
2,37677.11075,-1,707.987576271,1.0,1390.88575,10692,37.037037037,832.266132111,0.704849179076,0.0798587893237,1000,0.40313708943,4,0.593220338983
3,37697.52275,-1,707.987576271,1.0,1390.88575,10688,37.05118411,832.589381207,0.704736440031,0.0799022623312,1000,0.403730273874,5,0.593220338983
4,37636.76725,-1,707.987576271,1.0,1390.88575,10680,37.0412844037,833.26529052,0.704510703364,0.0797611706572,1000,0.402971048909,6,0.593220338983
5,37607.6675,-1,707.987576271,1.0,1390.88575,10676,37.0363288719,833.608795411,0.704397705545,0.079698279475,1000,0.402668889246,7,0.593220338983
6,37607.6675,-1,707.987576271,1.0,1390.88575,10676,37.0363288719,833.608795411,0.704397705545,0.079698279475,1000,0.402668889246,8,0.593220338983
7,37576.36275,-1,707.987576271,1.0,1390.88575,10672,37.0313695486,833.929227238,0.70428462127,0.0796223155099,1000,0.402226629735,9,0.593220338983
8,37576.36275,-1,707.987576271,1.0,1390.88575,10672,37.0313695486,833.929227238,0.70428462127,0.0796223155099,1000,0.402226629735,10,0.593220338983
9,37898.13025,-1,702.280364407,1.5,1390.87675,10416,37.5294117647,843.028235294,0.706666666667,0.0804093635176,1000,0.408109815514,2,0.610169491525
10,38062.64775,-1,703.757135593,1.5,1390.87675,10240,37.9090183559,867.948523543,0.702314445331,0.0808858122637,1000,0.414585212137,3,0.610169491525
11,38659.69025,-1,702.909182203,1.5,1390.87675,10220,38.1847261096,870.021191523,0.702518992403,0.0821473434764,1000,0.414312352486,4,0.610169491525
12,38531.072,-1,702.909182203,1.5,1390.87675,10216,38.14,870.3976,0.7024,0.081875850318,1000,0.415837182153,5,0.610169491525
13,38470.3165,-1,702.909182203,1.5,1390.87675,10208,38.1305044035,871.135708567,0.702161729384,0.081734758644,1000,0.415087130261,6,0.610169491525
14,38441.21675,-1,702.909182203,1.5,1390.87675,10204,38.1257509011,871.510612735,0.702042450941,0.0816718674618,1000,0.414782605208,7,0.610169491525
15,38441.21675,-1,702.909182203,1.5,1390.87675,10204,38.1257509011,871.510612735,0.702042450941,0.0816718674618,1000,0.414782605208,8,0.610169491525
16,38409.912,-1,702.909182203,1.5,1390.87675,10200,38.1209935897,871.861378205,0.701923076923,0.0815959034967,1000,0.414352071297,9,0.610169491525
17,38409.912,-1,702.909182203,1.5,1390.87675,10200,38.1209935897,871.861378205,0.701923076923,0.0815959034967,1000,0.414352071297,10,0.610169491525
18,36286.67725,-1,679.961766949,2.0,1236.94125,9132,39.1879766712,958.179004038,0.697173620458,0.0771558713954,1000,0.426383229121,2,0.661016949153
19,33846.171,-1,685.722228814,2.0,1236.94125,8792,38.8059701493,1011.75233209,0.685634328358,0.0719071542836,1000,0.421725372159,3,0.661016949153
20,34066.077,-1,684.874275424,2.0,1236.94125,8748,38.9826535396,1017.64744491,0.684950773558,0.0723863857199,1000,0.425279571091,4,0.661016949153
21,34316.04775,-1,684.874275424,2.0,1236.94125,8748,39.099859353,1017.64885138,0.684950773558,0.0729231439322,1000,0.426638823129,5,0.661016949153
22,34223.578,-1,685.411805085,2.0,1236.94125,8736,39.0845070423,1019.34882629,0.684507042254,0.0727044543869,1000,0.425195004531,6,0.661016949153
23,34194.47825,-1,685.411805085,2.0,1236.94125,8732,39.0793799906,1019.85814937,0.684358853922,0.0726415632047,1000,0.424858765616,7,0.661016949153
24,34194.47825,-1,685.411805085,2.0,1236.94125,8732,39.0793799906,1019.85814937,0.684358853922,0.0726415632047,1000,0.424858765616,8,0.661016949153
25,34163.1735,-1,685.411805085,2.0,1236.94125,8728,39.0742481203,1020.33928571,0.684210526316,0.0725655992396,1000,0.42433769147,9,0.661016949153
26,34163.1735,-1,685.411805085,2.0,1236.94125,8728,39.0742481203,1020.33928571,0.684210526316,0.0725655992396,1000,0.42433769147,10,0.661016949153
27,42909.1735,-1,640.901788136,2.5,1242.47,7528,46.9159388646,1118.03984716,0.723799126638,0.0931856740863,1000,0.523015530366,2,0.728813559322
28,37095.00525,-1,652.695114407,2.5,1242.47,6912,45.9701492537,1269.04955224,0.697313432836,0.0808398274098,1000,0.548669326821,3,0.745762711864
29,35533.09725,-1,658.936902542,2.5,1242.47,6804,45.4490291262,1295.5315534,0.694174757282,0.0773006245733,1000,0.538463986663,4,0.745762711864
30,35281.375,-1,658.08940678,2.5,1242.47,6784,45.3743152769,1302.1211199,0.69385270846,0.0767405204611,1000,0.536132447732,5,0.745762711864
31,35099.203,-1,657.779516949,2.5,1242.47,6760,45.3573610263,1307.53695785,0.692730604765,0.0763277224931,1000,0.535018301373,6,0.745762711864
32,35170.11225,-1,657.779516949,2.5,1242.47,6756,45.4156479218,1308.7603912,0.692542787286,0.0765107807821,1000,0.536533327943,7,0.745762711864
33,35270.13475,-1,657.469970339,2.5,1242.47,6756,45.4767726161,1308.96026895,0.692542787286,0.0767507530662,1000,0.538359170349,8,0.745762711864
34,35238.83,-1,657.469970339,2.5,1242.47,6752,45.4740061162,1309.76330275,0.692354740061,0.0766747891011,1000,0.537829742721,9,0.745762711864
35,35238.83,-1,657.469970339,2.5,1242.47,6752,45.4740061162,1309.76330275,0.692354740061,0.0766747891011,1000,0.537829742721,10,0.745762711864
36,42310.286,-1,564.521555085,3.0,1095.711,5344,58.2101167315,1396.14396887,0.768093385214,0.0938861644921,1000,0.653673899073,2,0.813559322034
37,37540.4435,-1,582.184614407,3.0,1095.711,4592,60.5672461116,1790.32296432,0.72461116194,0.0832648343982,1000,0.605310802056,3,0.745762711864
38,34562.6065,-1,593.264326271,3.0,1250.0,4328,60.1752677702,1957.03213242,0.707887049659,0.0768967630352,1000,0.606529861181,4,0.762711864407
39,32805.99775,-1,598.19134322,3.0,1250.0,4228,59.4311377246,2010.80339321,0.704590818363,0.0730116014033,1000,0.618505974151,5,0.745762711864
40,32788.4935,-1,598.19134322,3.0,1250.0,4200,59.6984924623,2030.16180905,0.705527638191,0.0729051753221,1000,0.606366375028,6,0.745762711864
41,32360.42325,-1,598.19134322,3.0,1250.0,4176,59.5045500506,2044.06066734,0.703741152679,0.0719605302745,1000,0.608874546165,7,0.745762711864
42,32150.696,-1,596.496427966,3.0,1250.0,4168,59.3718338399,2047.65450861,0.7031408308,0.0715123472375,1000,0.608861523618,8,0.745762711864
